"date","actual_rv_gk","returns_test","garch_norm_static","gjr_t_static","garch_norm_roll","gjr_t_roll"
2020-01-02,1.78981782508218e-05,0.0083788026773417,8.24364463498236e-05,6.44564531546137e-05,8.24364463498236e-05,6.44564531546137e-05
2020-01-03,2.44303046350536e-05,-0.00705987056204538,8.31966724821806e-05,6.51503532646584e-05,8.15362705887772e-05,6.02624697220438e-05
2020-01-06,1.91431961710346e-05,0.00353337289072719,8.39493598984951e-05,6.58382342905065e-05,8.01244914288981e-05,6.44618971249303e-05
2020-01-07,6.61819910991159e-06,-0.00280323865289622,8.46945833557863e-05,6.65201484433828e-05,7.44990744463264e-05,6.02373470193699e-05
2020-01-08,3.60313355194815e-05,0.00490245136897816,8.54324168697519e-05,6.71961474816172e-05,6.963073577595e-05,5.77594448415125e-05
2020-01-09,3.91960890971023e-06,0.00665526260548899,8.61629337221195e-05,6.78662827145732e-05,6.60103577347506e-05,5.41101618872914e-05
2020-01-10,1.31067501447108e-05,-0.00285517868966256,8.68862064679247e-05,6.85306050065427e-05,6.44136745027524e-05,5.07849906693925e-05
2020-01-13,7.67624539309014e-06,0.00697621525256986,8.76023069427177e-05,6.91891647806063e-05,6.05677945332934e-05,4.91522538034137e-05
2020-01-14,1.33060736772478e-05,-0.00151453277280222,8.83113062696973e-05,6.98420120224609e-05,5.98950416238354e-05,4.62463301659834e-05
2020-01-15,1.31564607624885e-05,0.00187019688451229,8.90132748667758e-05,7.04891962842131e-05,5.58764646890807e-05,4.40104409302778e-05
2020-01-16,2.56533082550908e-06,0.00836655302646827,8.97082824535721e-05,7.11307666881409e-05,5.20911532395455e-05,4.14982818635948e-05
2020-01-17,4.25409086339916e-06,0.00386216224850133,9.03963980583367e-05,7.17667719304217e-05,5.40148436595774e-05,3.9261659704813e-05
2020-01-21,7.86272461259588e-06,-0.00265197764736558,9.10776900248074e-05,7.23972602848287e-05,5.11795647410891e-05,3.71543467898351e-05
2020-01-22,1.1795119693825e-05,0.000289076071118055,9.17522260189974e-05,7.30222796063948e-05,4.85537730049141e-05,3.6476826608999e-05
